SensorID,timestamp,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
73,1085158800000,2.7,1234,NaN,10.2,985,158,815,122,1572,795,30.2,22.6,0.9524
73,1085162400000,3.6,1419,NaN,20.1,1300,216,670,155,1923,1263,27.6,25.7,0.9382
73,1085166000000,3.8,1325,NaN,19.1,1273,211,716,145,1815,1184,25.9,24.9,0.8195
73,1085169600000,3.5,1346,NaN,17.5,1224,202,715,146,1794,1272,23.9,29.4,0.8589
73,1085173200000,2.5,1241,NaN,13.8,1110,147,772,130,1698,1177,22.3,32.1,0.8515
73,1085176800000,2.5,1274,NaN,13.3,1094,160,771,126,1682,1231,20.5,35.9,0.8565
73,1085180400000,3.0,1321,NaN,14.8,1144,162,732,127,1745,1243,19.8,37.2,0.8509
74,1085184000000,3.7,1424,NaN,18.0,1240,194,662,126,1841,1427,19.1,41.9,0.9158
74,1085187600000,3.3,1357,NaN,16.0,1178,167,674,124,1782,1454,17.8,46.1,0.9344
74,1085191200000,1.5,1123,NaN,9.7,966,91,770,93,1594,1183,17.6,47.6,0.9465
74,1085194800000,0.7,1003,NaN,6.2,820,NaN,902,NaN,1455,908,17.9,46.3,0.9394
74,1085198400000,NaN,951,NaN,4.0,713,42,994,58,1385,821,16.9,49.8,0.9544
74,1085202000000,0.5,941,NaN,3.6,687,50,1024,59,1374,777,15.8,53.8,0.9615
74,1085205600000,0.5,986,NaN,4.6,745,61,959,66,1426,888,16.5,53.5,0.9928
74,1085209200000,1.2,1153,NaN,9.2,947,107,795,80,1643,1076,17.2,52.9,1.0276
74,1085212800000,2.2,1323,NaN,14.6,1137,139,696,94,1846,1285,19.3,48.3,1.0723
74,1085216400000,2.2,1315,NaN,11.7,1040,165,743,102,1740,1315,20.6,47.1,1.1287
74,1085220000000,2.1,1303,NaN,11.0,1015,139,777,96,1731,1250,23.7,40.0,1.153
74,1085223600000,1.8,1238,NaN,11.6,1037,113,813,91,1698,978,25.6,32.5,1.053
74,1085227200000,2.2,1259,NaN,12.9,1080,138,772,104,1736,1072,27.2,28.1,0.9989
74,1085230800000,2.0,1246,NaN,12.6,1070,104,770,84,1747,1064,27.9,28.1,1.0394
74,1085234400000,1.4,1154,NaN,8.3,912,78,872,76,1605,825,28.3,27.8,1.0539
74,1085238000000,1.8,1237,NaN,10.5,997,97,800,87,1688,924,29.2,27.0,1.081
74,1085241600000,2.1,1315,NaN,11.7,1041,115,773,101,1767,966,28.9,29.3,1.1503
74,1085245200000,2.8,1466,NaN,15.8,1174,152,680,115,1965,1302,25.4,39.8,1.2771
74,1085248800000,2.8,1409,NaN,13.9,1113,157,710,110,1850,1256,25.2,40.1,1.2642
74,1085252400000,2.7,1366,NaN,15.7,1171,132,693,103,1933,1068,24.5,39.4,1.1963
74,1085256000000,1.8,1241,NaN,10.9,1011,98,781,90,1748,1070,22.3,45.4,1.2088
74,1085259600000,1.2,1123,NaN,6.4,832,65,930,68,1565,792,21.2,48.3,1.2034
74,1085263200000,2.6,1321,NaN,12.7,1075,101,757,85,1891,1017,20.6,50.5,1.2082
74,1085266800000,3.1,1397,NaN,15.3,1159,134,681,100,1949,1207,20.2,52.9,1.234
75,1085270400000,4.1,1507,NaN,20.5,1311,177,608,114,2107,1499,19.8,54.5,1.2488
75,1085274000000,3.6,1405,NaN,15.9,1177,179,660,108,1931,1474,19.5,56.2,1.2624
75,1085277600000,1.9,1192,NaN,10.4,994,105,759,78,1780,1163,19.0,58.0,1.2581
75,1085281200000,1.9,1199,NaN,12.6,1070,NaN,671,NaN,1873,1189,18.1,61.6,1.2679
75,1085284800000,NaN,973,NaN,4.9,761,49,954,55,1501,815,18.0,57.6,1.1788
75,1085288400000,0.3,864,NaN,2.1,591,27,1247,37,1374,507,17.7,56.0,1.1215
75,1085292000000,0.4,886,NaN,2.2,598,41,1257,53,1374,506,17.9,52.4,1.0655
75,1085295600000,0.8,988,NaN,4.0,713,78,1092,79,1455,716,18.9,49.3,1.0668
75,1085299200000,0.8,1008,NaN,4.3,729,68,1034,65,1490,795,20.0,48.6,1.1199
75,1085302800000,0.8,976,NaN,3.8,698,64,1156,64,1393,594,20.6,41.2,0.9841
75,1085306400000,0.8,978,NaN,4.1,718,67,1137,66,1392,565,23.6,34.0,0.9749
75,1085310000000,0.9,987,NaN,4.5,740,54,1105,53,1407,523,26.7,28.1,0.9688
75,1085313600000,1.2,1030,NaN,5.3,778,67,1071,69,1452,591,26.8,28.1,0.9785
75,1085317200000,1.0,955,NaN,4.2,723,51,1129,57,1393,559,27.7,25.8,0.9467
75,1085320800000,0.8,924,NaN,3.3,673,28,1247,36,1346,430,28.8,22.7,0.8864
75,1085324400000,1.1,1005,NaN,4.9,758,51,1091,57,1434,522,26.8,27.3,0.9462
75,1085328000000,1.5,1059,NaN,6.1,816,77,1023,73,1468,641,25.9,28.7,0.9423
75,1085331600000,1.5,1079,NaN,6.9,851,93,991,81,1490,738,25.8,27.7,0.9076
75,1085335200000,1.4,1070,NaN,6.8,850,94,997,91,1502,778,24.8,29.5,0.9077
75,1085338800000,1.1,1085,NaN,5.8,805,69,972,65,1528,718,25.3,36.3,1.1513
75,1085342400000,0.9,1066,NaN,5.5,787,57,986,56,1552,689,23.9,40.4,1.1787
75,1085346000000,1.0,1094,NaN,6.1,815,74,934,69,1563,852,21.4,46.6,1.1764
75,1085349600000,1.1,1110,NaN,6.0,814,75,948,73,1571,854,20.5,49.3,1.173
75,1085353200000,1.0,968,NaN,4.2,719,73,1081,76,1388,664,19.2,42.3,0.9339
76,1085356800000,0.7,906,NaN,4.1,714,56,1163,67,1351,544,19.2,37.9,0.8352
76,1085360400000,0.5,849,NaN,2.4,615,31,1285,44,1276,461,17.2,43.1,0.8394
76,1085364000000,0.2,774,NaN,1.0,500,13,1536,21,1169,352,15.8,45.2,0.8052
76,1085367600000,NaN,746,NaN,0.6,450,NaN,1807,NaN,1111,308,15.7,42.3,0.7464
76,1085371200000,NaN,753,NaN,0.5,437,14,1904,19,1110,301,16.3,41.0,0.7513
76,1085374800000,0.1,749,NaN,0.7,466,23,1803,29,1089,307,16.1,36.5,0.664
76,1085378400000,0.5,864,NaN,2.8,642,72,1288,69,1255,441,16.5,36.2,0.6752
76,1085382000000,1.6,1002,NaN,7.8,893,165,1010,111,1394,775,17.5,30.9,0.6111
76,1085385600000,2.0,970,NaN,9.7,966,118,944,81,1379,907,18.4,24.0,0.5046
76,1085389200000,1.3,898,NaN,6.9,853,85,1066,56,1271,763,19.2,23.8,0.5235
76,1085392800000,1.0,847,NaN,5.8,800,116,1155,90,1179,649,21.7,18.1,0.4642
76,1085396400000,0.9,847,NaN,5.5,788,112,1203,85,1162,598,22.3,17.0,0.4513
76,1085400000000,1.2,871,NaN,6.8,848,100,1139,83,1208,579,22.8,16.1,0.4404
76,1085403600000,1.3,869,NaN,7.2,866,109,1107,85,1212,596,23.8,14.5,0.4222
76,1085407200000,1.1,875,NaN,6.9,854,111,1160,85,1200,595,25.1,13.1,0.4129
76,1085410800000,1.2,895,NaN,7.5,878,109,1122,81,1238,607,25.8,12.9,0.4219
76,1085414400000,1.4,926,NaN,7.7,885,114,1101,92,1259,662,25.5,14.0,0.4495
76,1085418000000,2.0,996,NaN,12.0,1048,139,959,108,1397,822,24.5,15.4,0.4663
76,1085421600000,2.4,997,NaN,13.5,1100,157,896,106,1392,987,22.6,17.2,0.4656
76,1085425200000,2.1,1006,NaN,12.0,1048,147,925,114,1416,966,21.2,18.9,0.471
76,1085428800000,1.2,895,NaN,6.7,845,102,1072,96,1241,763,19.1,22.8,0.501
76,1085432400000,0.7,862,NaN,4.8,751,73,1154,77,1213,617,18.4,24.6,0.5169
76,1085436000000,0.7,858,NaN,4.8,756,65,1159,73,1209,564,17.3,25.6,0.5032
76,1085439600000,0.8,853,NaN,5.0,762,76,1134,86,1184,646,16.5,24.9,0.4642
77,1085443200000,0.5,859,NaN,4.3,727,65,1120,84,1187,753,16.7,28.3,0.5316
77,1085446800000,0.2,837,NaN,2.7,634,41,1200,56,1150,669,15.5,32.2,0.5641
77,1085450400000,NaN,746,NaN,0.9,493,17,1522,31,1063,435,17.5,29.1,0.5773
77,1085454000000,NaN,752,NaN,1.2,515,NaN,1472,NaN,1068,436,13.3,35.6,0.5393
77,1085457600000,NaN,742,NaN,0.9,489,19,1559,30,1048,403,14.0,33.7,0.5355
77,1085461200000,0.1,774,NaN,1.7,560,45,1386,51,1107,532,11.6,40.0,0.5462
77,1085464800000,0.2,798,NaN,2.6,630,40,1291,45,1125,536,13.4,34.5,0.5272
77,1085468400000,1.1,1002,NaN,8.8,932,101,949,82,1405,917,15.2,31.0,0.5329
77,1085472000000,3.0,1210,NaN,22.2,1356,183,657,100,1786,1481,16.3,27.5,0.5066
77,1085475600000,2.1,1058,NaN,15.3,1158,149,820,91,1459,1187,19.2,20.0,0.439
77,1085479200000,2.6,1106,NaN,14.0,1118,207,885,130,1451,1220,24.9,13.0,0.4038
77,1085482800000,3.2,1153,NaN,18.5,1253,289,815,155,1541,1381,28.3,9.9,0.3754
77,1085486400000,2.1,1047,NaN,13.5,1101,159,913,114,1391,1103,29.2,9.8,0.3914
77,1085490000000,2.2,1091,NaN,15.8,1172,162,874,127,1459,1105,31.6,9.2,0.419
77,1085493600000,2.4,1162,NaN,18.5,1253,173,796,138,1595,1248,32.6,9.3,0.4499
77,1085497200000,NaN,1059,NaN,12.6,1070,NaN,925,NaN,1401,976,32.6,9.2,0.4463
77,1085500800000,NaN,1083,NaN,12.0,1051,NaN,939,NaN,1390,898,32.3,10.0,0.4747
77,1085504400000,NaN,1150,NaN,15.4,1161,NaN,867,NaN,1512,1038,32.1,10.7,0.4996
77,1085508000000,NaN,1321,NaN,24.9,1426,NaN,720,NaN,1859,1395,29.7,12.2,0.5007
77,1085511600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1085515200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1085518800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1085522400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1085526000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085529600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085533200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085536800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085540400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085544000000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085547600000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085551200000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085554800000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085558400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1085562000000,4.0,1303,NaN,40.2,1776,NaN,946,NaN,1467,1608,20.4,35.7,0.844
78,1085565600000,2.2,1137,NaN,14.9,1146,188,1144,136,1392,1327,26.1,23.8,0.7938
78,1085569200000,1.8,1139,NaN,13.8,1109,159,1118,135,1436,1292,28.8,21.1,0.8193
78,1085572800000,1.6,1099,NaN,12.3,1059,146,1156,115,1416,1114,29.6,19.4,0.7897
78,1085576400000,1.8,1088,NaN,14.0,1116,127,1128,112,1449,1060,31.6,16.4,0.7489
78,1085580000000,1.6,1027,NaN,11.8,1041,128,1237,112,1345,915,32.3,13.3,0.6303
78,1085583600000,1.6,1014,NaN,12.0,1049,120,1200,109,1366,893,31.8,13.5,0.6249
78,1085587200000,1.3,969,NaN,9.7,968,115,1276,112,1325,768,31.8,13.8,0.6394
78,1085590800000,NaN,1120,NaN,18.0,1238,NaN,1023,NaN,1591,1126,31.0,15.9,0.7039
78,1085594400000,NaN,1131,NaN,22.6,1368,NaN,933,NaN,1707,1284,28.6,18.7,0.7216
78,1085598000000,NaN,1130,NaN,22.7,1368,NaN,933,NaN,1709,1269,26.7,19.5,0.6754
78,1085601600000,NaN,1123,NaN,20.3,1304,NaN,939,NaN,1720,1290,25.0,24.4,0.7616
78,1085605200000,NaN,1069,NaN,13.1,1086,NaN,1064,NaN,1536,1119,22.8,28.4,0.7804
78,1085608800000,NaN,1021,NaN,10.9,1010,NaN,1116,NaN,1480,1027,21.7,29.2,0.7458
78,1085612400000,NaN,1101,NaN,13.3,1093,NaN,1012,NaN,1564,1155,21.1,30.9,0.7617
79,1085616000000,NaN,1026,NaN,9.5,960,NaN,1072,NaN,1471,1078,19.9,36.3,0.8349
79,1085619600000,NaN,949,NaN,6.6,841,NaN,1155,NaN,1393,954,18.6,39.3,0.8355
79,1085623200000,NaN,846,NaN,3.6,687,NaN,1295,NaN,1288,726,18.6,38.8,0.8228
79,1085626800000,NaN,811,NaN,2.3,606,NaN,1417,NaN,1248,656,19.0,38.9,0.8468
79,1085630400000,NaN,803,NaN,2.0,586,NaN,1442,NaN,1232,573,18.0,40.9,0.8394
79,1085634000000,NaN,882,NaN,4.1,715,NaN,1246,NaN,1367,780,15.5,48.6,0.8505
79,1085637600000,NaN,963,NaN,6.5,836,NaN,1085,NaN,1429,920,16.0,47.9,0.8659
79,1085641200000,NaN,1413,NaN,24.8,1424,NaN,739,NaN,2102,1544,17.0,46.0,0.883
79,1085644800000,NaN,1485,NaN,34.4,1650,NaN,632,NaN,2337,1789,19.0,41.6,0.9039
79,1085648400000,NaN,1354,NaN,24.5,1418,NaN,749,NaN,2043,1629,21.8,35.0,0.9002
79,1085652000000,NaN,1074,NaN,9.0,939,NaN,1071,NaN,1513,997,25.6,28.0,0.9088
79,1085655600000,NaN,1022,NaN,8.4,914,NaN,1132,NaN,1446,847,26.4,23.1,0.7853
79,1085659200000,NaN,1100,NaN,11.5,1034,NaN,995,NaN,1586,958,27.1,24.2,0.856
79,1085662800000,NaN,1073,NaN,12.1,1052,NaN,1009,NaN,1574,854,27.5,20.9,0.7565
79,1085666400000,NaN,1049,NaN,10.1,983,NaN,1071,NaN,1515,782,29.5,19.7,0.8015
79,1085670000000,NaN,1086,NaN,11.9,1048,NaN,1016,NaN,1580,888,30.6,18.6,0.8014
79,1085673600000,NaN,1059,NaN,11.3,1027,NaN,1066,NaN,1521,764,31.3,15.8,0.7106
79,1085677200000,NaN,1244,NaN,20.2,1301,NaN,842,NaN,1801,1170,29.4,21.0,0.8452
79,1085680800000,NaN,1320,NaN,24.8,1423,NaN,767,NaN,1986,1385,27.0,23.5,0.8256
79,1085684400000,NaN,1236,NaN,20.3,1304,NaN,822,NaN,1868,1237,25.8,26.7,0.8758
79,1085688000000,NaN,1136,NaN,16.2,1187,NaN,904,NaN,1735,1127,23.7,28.4,0.8225
79,1085691600000,NaN,1110,NaN,13.3,1093,NaN,961,NaN,1661,1091,21.3,33.0,0.8284
79,1085695200000,NaN,1026,NaN,10.3,990,NaN,1032,NaN,1553,972,20.5,35.3,0.8435
79,1085698800000,NaN,1038,NaN,9.6,961,NaN,1026,NaN,1530,949,19.4,38.1,0.8511
80,1085702400000,NaN,975,NaN,7.8,892,NaN,1015,NaN,1480,890,19.4,40.7,0.9045
80,1085706000000,NaN,908,NaN,6.1,814,NaN,1089,NaN,1403,763,17.8,44.9,0.903
80,1085709600000,NaN,896,NaN,6.2,820,NaN,1074,NaN,1439,833,16.6,49.7,0.9295
80,1085713200000,NaN,810,NaN,3.8,697,NaN,1221,NaN,1321,675,16.5,48.6,0.9028
80,1085716800000,NaN,789,NaN,2.8,638,NaN,1305,NaN,1309,672,15.2,53.6,0.919
80,1085720400000,NaN,814,NaN,3.4,678,NaN,1276,NaN,1339,626,15.5,51.7,0.9019
80,1085724000000,NaN,958,NaN,8.2,907,NaN,992,NaN,1536,882,14.9,54.8,0.9247
80,1085727600000,NaN,1213,NaN,19.2,1274,NaN,762,NaN,1914,1264,16.3,51.3,0.9416
80,1085731200000,NaN,1221,NaN,22.6,1367,NaN,722,NaN,2008,1330,18.4,45.7,0.9559
80,1085734800000,NaN,1245,NaN,19.4,1281,NaN,774,NaN,1952,1324,20.8,43.6,1.0614
80,1085738400000,NaN,1050,NaN,9.6,963,NaN,998,NaN,1609,901,24.3,35.1,1.0477
80,1085742000000,NaN,1048,NaN,9.8,969,NaN,1012,NaN,1600,852,26.4,29.3,0.9889
80,1085745600000,NaN,1141,NaN,14.4,1128,NaN,902,NaN,1738,1009,28.3,25.0,0.9495
80,1085749200000,NaN,1052,NaN,12.1,1053,NaN,949,NaN,1641,831,28.9,23.7,0.9285
80,1085752800000,NaN,1152,NaN,13.5,1099,NaN,908,NaN,1706,954,28.5,25.8,0.9931
80,1085756400000,1.7,1026,NaN,12.3,1061,133,982,115,1564,814,29.6,18.9,0.7692
80,1085760000000,1.7,1039,NaN,12.2,1055,131,966,117,1590,845,28.0,23.2,0.8613
80,1085763600000,2.1,1148,NaN,12.5,1067,133,887,105,1790,956,23.6,41.0,1.1786
80,1085767200000,2.2,1176,NaN,13.9,1114,141,843,114,1805,1102,21.5,48.1,1.2148
80,1085770800000,1.8,1100,NaN,11.4,1028,112,900,103,1710,994,22.1,44.1,1.1573
80,1085774400000,1.8,1081,NaN,10.4,992,147,959,119,1680,935,20.2,47.2,1.1043
80,1085778000000,0.9,976,NaN,7.0,858,104,1070,102,1547,839,20.0,47.6,1.103
80,1085781600000,1.0,979,NaN,7.0,857,97,1082,96,1546,797,19.8,46.8,1.0697
80,1085785200000,2.0,1092,NaN,11.3,1024,128,937,109,1706,968,19.6,47.0,1.0606
81,1085788800000,1.8,1044,NaN,9.2,946,138,1009,119,1594,886,19.3,46.3,1.0279
81,1085792400000,1.1,940,NaN,6.8,849,93,1091,103,1509,764,18.5,48.7,1.0286
81,1085796000000,0.6,892,NaN,5.1,767,71,1180,84,1466,657,18.0,51.4,1.0504
81,1085799600000,0.3,838,NaN,3.4,675,NaN,1302,NaN,1390,540,17.9,50.8,1.0355
81,1085803200000,NaN,853,NaN,4.3,727,44,1179,59,1417,621,17.7,51.9,1.0379
81,1085806800000,NaN,738,NaN,1.5,545,18,1562,29,1266,450,17.7,49.7,0.997
81,1085810400000,0.1,762,NaN,2.0,581,41,1588,45,1277,434,17.9,46.1,0.9383
81,1085814000000,0.5,841,NaN,4.0,713,84,1293,80,1356,559,18.4,43.9,0.9192
81,1085817600000,0.6,843,NaN,4.0,712,77,1303,77,1343,548,18.9,42.1,0.9081
81,1085821200000,0.5,841,NaN,4.0,713,73,1326,68,1330,525,19.2,39.7,0.8728
81,1085824800000,0.7,862,NaN,4.2,721,72,1329,66,1335,522,20.8,36.6,0.8878
81,1085828400000,0.7,869,NaN,4.5,740,77,1296,70,1366,535,21.3,35.8,0.8975
81,1085832000000,0.9,894,NaN,6.0,810,82,1204,74,1421,585,21.8,34.9,0.9004
81,1085835600000,0.7,844,NaN,4.8,755,67,1284,64,1350,521,22.8,31.4,0.8615
81,1085839200000,0.4,823,NaN,3.8,699,59,1382,60,1311,493,22.9,31.3,0.862
81,1085842800000,0.5,843,NaN,4.2,719,61,1353,63,1330,501,22.9,30.7,0.8461
81,1085846400000,0.6,865,NaN,5.1,767,76,1279,75,1369,559,23.8,29.2,0.8499
81,1085850000000,0.6,873,NaN,5.6,792,73,1247,79,1397,589,23.2,30.2,0.8442
81,1085853600000,0.8,899,NaN,5.8,803,87,1221,83,1426,596,22.4,31.3,0.8365
81,1085857200000,1.0,921,NaN,7.0,856,98,1163,93,1437,681,21.7,32.2,0.825
81,1085860800000,1.2,937,NaN,7.9,893,123,1106,112,1463,783,20.8,33.2,0.8061
81,1085864400000,1.0,901,NaN,6.5,834,102,1177,103,1408,738,20.1,35.0,0.8149
81,1085868000000,1.3,955,NaN,8.5,918,102,1056,93,1511,762,19.5,36.9,0.8258
81,1085871600000,2.7,1065,NaN,13.7,1106,142,897,112,1707,929,19.0,38.2,0.8327
82,1085875200000,2.7,1035,NaN,13.8,1110,148,907,125,1652,1044,18.5,39.4,0.832
82,1085878800000,1.6,956,NaN,9.1,945,107,1030,107,1509,892,17.8,41.7,0.844
82,1085882400000,0.6,869,NaN,6.5,835,61,1078,76,1437,807,19.2,42.0,0.9248
82,1085886000000,0.3,831,NaN,6.2,822,NaN,1085,NaN,1418,710,17.8,44.8,0.9048
82,1085889600000,NaN,815,NaN,5.2,774,43,1113,55,1374,712,17.0,47.7,0.9185
82,1085893200000,0.1,781,NaN,3.1,661,25,1271,37,1299,568,17.2,47.2,0.9178
82,1085896800000,0.1,781,NaN,2.9,645,32,1295,45,1320,575,17.3,47.6,0.9295
82,1085900400000,0.2,828,NaN,3.6,690,48,1263,61,1353,658,18.6,44.2,0.9385
82,1085904000000,0.3,803,NaN,2.7,635,60,1417,67,1272,537,20.2,37.8,0.8837
82,1085907600000,0.3,811,NaN,3.0,653,52,1411,60,1269,486,22.0,31.9,0.8335
82,1085911200000,0.4,844,NaN,3.7,696,58,1353,64,1292,507,25.5,25.9,0.8339
82,1085914800000,0.3,833,NaN,3.8,697,54,1361,64,1294,496,27.5,22.8,0.8249
82,1085918400000,0.3,832,NaN,4.2,719,52,1318,59,1299,502,28.7,20.7,0.8024
82,1085922000000,0.1,771,NaN,2.6,626,34,1502,41,1210,430,29.1,19.6,0.7771
82,1085925600000,0.1,783,NaN,2.8,637,41,1498,46,1215,439,29.8,18.4,0.7595
82,1085929200000,0.2,815,NaN,4.2,723,41,1378,46,1256,471,32.0,15.0,0.7028
82,1085932800000,0.6,912,NaN,6.2,819,65,1224,77,1368,589,30.3,17.0,0.7232
82,1085936400000,0.5,894,NaN,5.2,774,65,1239,83,1339,598,31.7,16.2,0.745
82,1085940000000,0.9,963,NaN,7.7,885,84,1102,90,1447,695,29.2,19.6,0.7817
82,1085943600000,1.1,990,NaN,8.8,930,89,1045,95,1506,739,27.4,23.8,0.858
82,1085947200000,1.3,1025,NaN,10.1,980,114,986,113,1591,891,25.0,26.9,0.8408
82,1085950800000,1.5,997,NaN,9.8,971,127,993,128,1573,930,23.6,30.1,0.8663
82,1085954400000,1.2,976,NaN,8.4,916,117,1044,117,1515,880,22.3,33.6,0.8913
82,1085958000000,0.4,878,NaN,5.4,784,46,1181,64,1407,610,21.4,36.9,0.9271
83,1085961600000,0.2,836,NaN,4.3,728,16,1213,28,1353,518,20.6,39.9,0.9597
83,1085965200000,0.3,855,NaN,4.8,751,27,1107,46,1418,664,19.7,43.2,0.9812
83,1085968800000,NaN,759,NaN,2.1,588,4,1323,8,1286,515,19.7,42.4,0.9636
83,1085972400000,NaN,738,NaN,1.4,539,NaN,1421,NaN,1257,477,18.9,45.0,0.9703
83,1085976000000,NaN,736,NaN,1.3,528,19,1451,32,1254,477,18.7,45.4,0.9694
83,1085979600000,NaN,765,NaN,2.3,609,48,1304,57,1319,581,16.4,52.4,0.9709
83,1085983200000,0.5,909,NaN,6.5,834,82,1031,60,1527,763,16.6,52.1,0.9785
83,1085986800000,1.6,1108,NaN,14.2,1123,167,804,83,1801,1111,17.4,50.9,1.0017
83,1085990400000,3.6,1252,NaN,22.7,1369,248,681,129,2120,1390,19.3,46.0,1.0185
83,1085994000000,2.2,1175,NaN,16.3,1188,213,790,137,1901,1251,20.9,43.6,1.0683
83,1085997600000,1.6,1111,NaN,14.1,1120,161,839,121,1790,1141,25.6,33.3,1.0773
83,1086001200000,1.4,1044,NaN,12.6,1069,144,889,123,1683,942,28.9,26.0,1.0188
83,1086004800000,1.4,1018,NaN,13.1,1088,127,909,120,1677,795,30.3,22.8,0.9695
83,1086008400000,1.5,1060,NaN,14.2,1122,116,863,119,1721,836,30.9,24.4,1.0724
83,1086012000000,1.3,1071,NaN,13.8,1110,124,864,121,1733,847,30.5,26.2,1.1278
83,1086015600000,1.2,1006,NaN,12.1,1054,115,921,111,1636,769,30.7,23.4,1.015
83,1086019200000,1.8,1104,NaN,15.7,1171,150,827,128,1803,968,28.1,29.8,1.1132
83,1086022800000,3.0,1196,NaN,21.4,1336,221,739,159,1971,1157,26.9,32.2,1.1267
83,1086026400000,3.5,1243,NaN,25.0,1429,227,687,161,2093,1367,26.0,34.6,1.1485
83,1086030000000,2.4,1124,NaN,16.6,1199,156,794,116,1858,1101,24.5,37.7,1.1454
83,1086033600000,1.1,1020,NaN,10.7,1003,97,904,96,1716,916,21.7,46.9,1.2044
83,1086037200000,0.8,1035,NaN,7.5,878,78,977,69,1694,825,19.3,68.8,1.519
83,1086040800000,0.4,986,NaN,5.3,781,60,1063,58,1633,693,17.6,81.6,1.6296
83,1086044400000,0.6,1017,NaN,6.5,834,61,986,59,1676,734,17.8,80.3,1.6212
84,1086048000000,0.3,922,NaN,4.7,750,46,1085,45,1585,685,18.6,75.7,1.6074
84,1086051600000,NaN,830,NaN,2.9,644,17,1235,23,1487,524,19.6,68.4,1.5443
84,1086055200000,NaN,805,NaN,2.0,583,18,1339,26,1494,527,18.0,76.4,1.5608
84,1086058800000,NaN,760,NaN,1.1,505,NaN,1527,NaN,1413,452,17.3,77.2,1.5104
84,1086062400000,NaN,783,NaN,1.3,529,16,1437,24,1435,466,16.5,82.3,1.5318
84,1086066000000,0.1,854,NaN,2.4,613,39,1272,41,1515,565,16.8,81.3,1.5452
84,1086069600000,0.3,985,NaN,6.1,816,107,987,65,1677,799,17.3,78.6,1.5412
84,1086073200000,1.4,1225,NaN,12.5,1067,190,760,94,1922,1102,16.9,80.9,1.5472
84,1086076800000,2.7,1313,NaN,19.5,1283,236,671,100,2180,1299,17.1,79.8,1.542
84,1086080400000,2.3,1199,NaN,15.2,1156,227,758,103,1958,1272,18.5,70.3,1.4826
84,1086084000000,1.8,1182,NaN,12.0,1051,211,829,89,1870,1206,19.6,66.7,1.5023
84,1086087600000,1.6,1173,NaN,12.4,1063,201,814,86,1905,1218,20.4,63.1,1.4969
84,1086091200000,1.9,1259,NaN,15.9,1178,191,722,89,2060,1367,21.6,61.8,1.5775
84,1086094800000,2.5,1263,NaN,15.7,1171,192,759,88,2029,1290,24.0,49.3,1.4509
84,1086098400000,1.6,1156,NaN,13.5,1100,143,800,73,1884,1175,25.7,43.8,1.4262
84,1086102000000,1.5,1167,NaN,12.4,1065,148,808,78,1886,1139,24.6,47.5,1.4487
84,1086105600000,2.5,1278,NaN,17.1,1213,183,733,95,2041,1293,24.8,47.4,1.4628
84,1086109200000,3.6,1342,NaN,22.0,1351,216,657,109,2201,1419,23.7,50.5,1.4636
84,1086112800000,3.5,1353,NaN,19.9,1292,184,683,95,2178,1326,23.0,53.8,1.4968
84,1086116400000,4.8,1501,NaN,27.9,1501,248,588,101,2486,1517,21.5,65.8,1.6688
84,1086120000000,3.7,1355,NaN,19.7,1289,221,678,88,2158,1391,21.0,66.9,1.6436
84,1086123600000,2.1,1230,NaN,15.7,1169,159,737,77,2020,1275,20.6,68.1,1.6329
84,1086127200000,1.6,1148,NaN,12.0,1048,136,822,75,1883,1168,20.5,66.9,1.5914
84,1086130800000,2.2,1171,NaN,13.1,1088,168,822,81,1889,1132,20.2,65.2,1.5251
